"State / UT","Type","Official Question Bank","Test Format","Languages","Speed Schedule","Notes","Questions Applicable"
"Rajasthan","State","Publishes its own bank","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Hindi, English","Follows central and state notifications; confirm locally.","The Transport Department publishes a Question Bank for Learning Licence on its downloads page. The page blocks automated retrieval, so its items are not extracted here.","440"
"Madhya Pradesh","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Hindi, English","Follows central and state notifications.","Bank served through Sarathi.","440"
"West Bengal","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Bengali, Hindi, English","Follows central and state notifications.","Bank served through Sarathi.","440"
"Punjab","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Punjabi, Hindi, English","Motorcycle 35 to 50; cars 50, 70 or 80 by road class; medium 45 to 65.","The state notified the 2019 amendment penalties for 36 sections; a few offences retain earlier amounts.","440"
"Haryana","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Hindi, English","Motorcycle 30 or 50; cars 50; medium 40 or 65; heavy 30 or 40.","Bank served through Sarathi.","440"
"Odisha","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Odia, Hindi, English","Graded by carriageway: motorcycle 60 on four-lane divided roads, 40 on highways through municipal areas.","Bank served through Sarathi.","440"
"Assam","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Assamese, Hindi, English","Follows central and state notifications.","Bank served through Sarathi.","440"
"Jharkhand","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Hindi, English","Follows central and state notifications.","Bank served through Sarathi.","440"
"Chhattisgarh","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Hindi, English","Follows central and state notifications.","Bank served through Sarathi.","440"
"Uttarakhand","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Hindi, English","Follows central and state notifications; hill-road limits are lower.","Bank served through Sarathi.","440"
"Himachal Pradesh","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Hindi, English","Follows central and state notifications; hill-road limits are lower.","Bank served through Sarathi.","440"
"Goa","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Konkani, Marathi, English","Follows central and state notifications.","Bank served through Sarathi.","440"
"Jammu and Kashmir","Union Territory","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Urdu, Hindi, English","Follows central and state notifications; hill-road limits are lower.","Bank served through Sarathi.","440"
"Ladakh","Union Territory","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Hindi, English","Follows central notifications; high-altitude and hill limits are lower.","Bank served through Sarathi.","440"
"Manipur","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Manipuri, English","Follows central and state notifications.","Bank served through Sarathi.","440"
"Meghalaya","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","English","Follows central and state notifications.","Bank served through Sarathi.","440"
"Mizoram","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Mizo, English","Follows central and state notifications.","Bank served through Sarathi.","440"
"Nagaland","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","English","Follows central and state notifications.","Bank served through Sarathi.","440"
"Tripura","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Bengali, English","Follows central and state notifications.","Bank served through Sarathi.","440"
"Arunachal Pradesh","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Hindi, English","Follows central and state notifications.","Bank served through Sarathi.","440"
"Sikkim","State","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Nepali, English","Follows central and state notifications; hill-road limits are lower.","Bank served through Sarathi.","440"
"Chandigarh","Union Territory","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Hindi, Punjabi, English","Follows Punjab and Haryana practice.","Bank served through Sarathi.","440"
"Puducherry","Union Territory","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Tamil, English","Follows Tamil Nadu practice.","Bank served through Sarathi.","440"
"Andaman and Nicobar Islands","Union Territory","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Hindi, English","Follows central notifications.","Bank served through Sarathi.","440"
"Dadra and Nagar Haveli and Daman and Diu","Union Territory","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Gujarati, Hindi, English","Follows central notifications.","Bank served through Sarathi.","440"
"Lakshadweep","Union Territory","Sarathi core bank only","15 to 20 questions, about 60% to pass, 30 to 60 seconds per question. Confirm on your state's Sarathi page.","Malayalam, English","Follows central notifications.","Bank served through Sarathi.","440"
