"ID","Category","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Source","Status","Confirmed In"
"Q028","Traffic Signs","A blue circle with a white arrow bending to the right means","Road to the right ahead","Compulsory turn right","Turn to the right prohibited","Right hand curve","B","Every vehicle must turn right at that point.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q029","Traffic Signs","A blue circle with a white arrow that goes straight and also branches left means","Compulsory ahead or turn left","Compulsory ahead or turn right","Compulsory turn right","Side road ahead","A","You may either continue straight or turn left; a right turn is not permitted.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q030","Traffic Signs","A blue circle with a white arrow that goes straight and also branches right means","Road to the right ahead","Roads ahead and to the right","Compulsory ahead or turn right","Compulsory turn right","C","You may either go straight or turn right; a left turn is not permitted.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q031","Traffic Signs","A blue circle containing a white horn means","Compulsory sound horn","Sound horn continuously","Horn prohibited","Silence zone","A","The horn must be sounded, typically on blind hill bends and ghat roads.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q032","Traffic Signs","A blue circle containing a white bicycle means","Compulsory cycle track","School area","Cycles prohibited","Cycle crossing","A","Cyclists must use the track provided and may not use the main carriageway.","Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Official","Maharashtra, Telangana, Andhra Pradesh"
"Q033","Traffic Signs","A cautionary triangle showing a cycle means","Cycle crossing ahead","Cycles prohibited","Cycle parking","Compulsory cycle track","A","Warns that cyclists may cross the road ahead.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q034","Traffic Signs","A cautionary triangle showing a road bending to the right means","Right ascent","Right hand curve","Keep right","Right reverse bend","B","There is a curve to the right ahead; slow down before entering it.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q035","Traffic Signs","A cautionary triangle showing a road bending to the left means","Left hand curve","Left ascent","Keep left","Left hair pin bend","A","There is a curve to the left ahead; reduce speed and keep to your lane.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q036","Traffic Signs","A cautionary triangle showing a road doubling back sharply to the right means","Right hair pin bend","Right ascent and descent","Right descent","Right reverse bend","A","A very sharp bend of nearly 180 degrees lies ahead, common on ghat roads.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q037","Traffic Signs","A cautionary triangle showing a road doubling back sharply to the left means","Left descent","Left hair pin bend","Keep left","Left reverse bend","B","A very sharp left bend lies ahead; change to a lower gear before entering.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q038","Traffic Signs","A cautionary triangle showing an S-shaped road curving first to the right means","Right reverse bend","Left reverse bend","Turn right and go ahead","Zig-zag road","A","Two opposite bends follow one another, the first to the right.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q040","Traffic Signs","A cautionary triangle showing a vehicle on an upward slope means","Steep ascent","Steep descent","Slippery road","Hump ahead","A","A steep climb lies ahead; select a lower gear in good time.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q041","Traffic Signs","A cautionary triangle showing a vehicle on a downward slope means","Steep ascent","Steep descent","Slippery road","Dangerous dip","B","A steep downgrade lies ahead; engage a low gear and use brakes sparingly.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q042","Traffic Signs","A cautionary triangle showing the road edges converging means","Narrow road ahead","Road widens ahead","Narrow bridge","Slippery road","A","The carriageway becomes narrower; be prepared to give way.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q043","Traffic Signs","A cautionary triangle showing the road edges diverging means","Narrow road ahead","Road widens ahead","Narrow bridge","Y-intersection","B","The carriageway becomes wider ahead.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q044","Traffic Signs","A cautionary triangle showing two vertical bars close together means","Roads on both sides ahead","Narrow bridge ahead","Narrow road ahead","Barrier ahead","B","A bridge narrower than the road lies ahead; only one vehicle may pass at a time.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q045","Traffic Signs","A cautionary triangle showing a car with wavy skid marks means","Slippery road","Loose gravel","Dangerous dip","Rough road","A","The surface ahead can become slippery; reduce speed by changing to a lower gear.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q046","Traffic Signs","A cautionary triangle showing a vehicle throwing up stones means","Loose gravel","Slippery road","Falling rocks","Rough road","A","Loose chippings may be thrown up; slow down and keep well back.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q047","Traffic Signs","A cautionary triangle showing an adult figure on a striped crossing means","Pedestrian crossing ahead","Pedestrians may enter","Pedestrians prohibited","School ahead","A","Pedestrians cross the road ahead; be ready to stop and give way.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q048","Traffic Signs","A cautionary triangle showing two children means","School ahead","Pedestrian crossing","Children prohibited","Play zone","A","A school lies ahead; slow down and proceed with extra caution.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q049","Traffic Signs","A cautionary triangle showing a figure with a shovel means","Men at work","Children playing","Pedestrian crossing","Barrier ahead","A","Road repair work is in progress; the speed limit past workmen is 25 km/h.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q050","Traffic Signs","A cautionary triangle showing stones tumbling down a slope means","Rough road","Slippery road","Falling rocks","Steep descent","C","Rocks may fall onto the carriageway, typically in hilly terrain.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q051","Traffic Signs","A cautionary triangle showing a plain cross means","Cross road ahead","No entry","Hospital","Staggered intersection","A","Two roads cross ahead; slow down and check both sides before entering.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q052","Traffic Signs","A cautionary triangle showing a break in the central median means","Drainage in middle","Bridge ahead","Gap in median","Staggered intersection","C","There is an opening in the divider ahead through which traffic may cross.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q053","Traffic Signs","A cautionary triangle showing a minor road joining from the right means","Turn right","Side road right","Keep right","Y-intersection","B","A side road joins from the right; watch for vehicles emerging.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q054","Traffic Signs","A cautionary triangle showing a minor road joining from the left means","Side road left","Turn left","Keep left","Compulsory turn left","A","A side road joins from the left; watch for vehicles emerging.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Telangana, Andhra Pradesh"
"Q055","Traffic Signs","A cautionary triangle showing three arrows circling means","Turn right","Turn left","Round about ahead","Y-intersection","C","A roundabout lies ahead; give way to traffic already on it, coming from your right.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q056","Traffic Signs","A cautionary triangle showing a thin road meeting a thick road means","Major road ahead","Cross road ahead","Narrow road ahead","Side road right","A","You are approaching a main road; give way to traffic already travelling on it.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q057","Traffic Signs","A cautionary triangle showing a road forking into two branches means","Turn left","Turn right","Y-intersection","Staggered intersection","C","The road divides ahead into a Y; choose your lane early.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q058","Traffic Signs","A cautionary triangle showing two side roads offset from one another means","Cross road","Round about","Staggered intersection","Gap in median","C","Side roads join from opposite sides but are not directly opposite each other.","Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Official","Maharashtra, Telangana, Andhra Pradesh"
"Q059","Traffic Signs","A cautionary triangle showing a bump in the road profile means","Hump or rough road ahead","Zig-zag road","Ghat road","Dangerous dip","A","A speed hump or uneven surface lies ahead; keep speed reduced throughout.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q061","Traffic Signs","A cautionary triangle showing a gate or fence across the road means","Barrier ahead","Railway crossing ahead","Weighbridge ahead","Men at work","A","A barrier such as a check post or toll gate lies ahead; be prepared to stop.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q062","Traffic Signs","A cautionary triangle showing a cow or buffalo means","Cattle prohibited","Cattle may be on the road","Vehicles carrying cattle prohibited","Cattle market ahead","B","Animals may stray onto the carriageway; slow down and be ready to stop.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q063","Traffic Signs","A cautionary triangle showing a locomotive with a fence symbol indicates","Railway station near","Unguarded level crossing","Guarded level crossing","Barrier ahead","C","A level crossing with a gate and gateman lies ahead, at 200 m or 50-100 m as marked.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q064","Traffic Signs","A cautionary triangle showing a locomotive without a gate symbol indicates","Railway station near","Unguarded level crossing","Guarded level crossing","Barrier ahead","B","There is no gate or gateman; you must stop, look both ways and cross only when clear.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q066","Traffic Signs","A blue rectangle showing a fuel dispenser means","ATM","Hotel","Petrol pump","Air filling","C","An informatory sign showing that a filling station is available ahead.","Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Official","Maharashtra, Telangana, Andhra Pradesh"
"Q067","Traffic Signs","A blue rectangle showing a knife and fork means","Eating place","Resting place","Hospital","Light refreshment","A","An informatory sign for a restaurant or eating place.","Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Official","Maharashtra, Telangana, Andhra Pradesh"
"Q068","Traffic Signs","A blue rectangle showing a bed means","Hospital","Resting place","First aid post","Light refreshment","B","An informatory sign for a rest house or place to stay.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q069","Traffic Signs","A blue rectangle showing a red cross on white means","Hospital","Cross roads","First aid post","No parking","C","A first aid post is available; it is not a full hospital.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q070","Traffic Signs","A blue rectangle showing the letter H means","First aid post","Hospital","Resting place","Helipad","B","A hospital lies ahead; do not sound the horn in the vicinity.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q071","Traffic Signs","A blue rectangle showing a road that ends in a bar means","Ferry ahead","Main road ahead","No through road","No through side road","C","The road ahead is a dead end with no exit at the far end.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q072","Traffic Signs","A blue rectangle showing a side road that ends in a bar means","No through side road","Left turn","Bridge ahead","No through road","A","The side road branching off is a dead end.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q073","Traffic Signs","A blue rectangle with the letter P and an arrow means","Post office","No parking","Park this side","Police aid post","C","Parking is permitted on the side indicated by the arrow.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q074","Traffic Signs","A blue rectangle with the letter P and a scooter symbol means","Parking lot for scooters and motor cycles","Scooters and motor cycles prohibited","Scooter repair shop","Parking both sides","A","The parking area is reserved for two-wheelers.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
"Q077","Traffic Signs","A red traffic light means","You may proceed with caution","You must stop behind the white stop line","Slow down","Give way and proceed","B","Red means stop; the vehicle must not cross the stop line until the light turns green.","Transport Dept, Govt of NCT of Delhi - Question Bank for Learner Licence (qbankltest.pdf) + Transport Dept, Govt of Telangana - LLR Question Bank: Road Signs (English)","Frequently Asked","Delhi, Maharashtra, Telangana, Andhra Pradesh"
